Set,PriceEuro,Pieces,Minifigs
Corner Garage,,2569,6 (6 unique to this set)
Ford Mustang,,1471,
NASA Apollo 11 Lunar Lander,,1087,2 (2 unique to this set)
Gingerbread House,,1477,2 (2 unique to this set)
Harley-Davidson Fat Boy,,1023,
Woody & RC,,69,1
Duke Caboom's Stunt Show,,120,2 (1 unique to this set)
Buzz and Bo Peep's Playground Adventure,,139,3 (1 unique to this set)
RV Vacation,,178,3 (2 unique to this set)
Buzz & Woody's Carnival Mania!,,230,5 (3 unique to this set)
Carnival Thrill Coaster,,98,2
My First Tow Truck,,11,
My First Balancing Animals,,15,
My First Fun Puzzle,,15,
My First Car Creations,,34,
Creative Fun,,120,1
Mickey's Vacation House,,57,3 (2 unique to this set)
Spider-Man vs. Electro,,29,2 (1 unique to this set)
Toy Story Train,,21,2 (2 unique to this set)
Emmet and Lucy's Visitors from the DUPLO Planet,,53,2 (2 unique to this set)
My First Minnie Build,,10,
My First Mickey Build,,9,
Frozen Ice Castle,,59,3 (1 unique to this set)
Police Bike,,8,1 (1 unique to this set)
Fire Truck,,21,2 (1 unique to this set)
Police Station,,38,3 (2 unique to this set)
Fire Station,,76,2
Baby Animals,,9,
Tropical Island,,73,3 (1 unique to this set)
World Animals,,121,6 (3 unique to this set)
Plane,,12,1 (1 unique to this set)
Submarine Adventure,,24,2
Bricks and Ideas,,123,
Basic Brick Set,,300,
Bricks and Eyes,,451,
Windows of Creativity,,450,
Creative Fun,,900,
Star Wars: Build Your Own Adventure Galactic Missions parts,,66,1
The Book of Bedtime Builds parts,,68,
Harry Potter: Build Your Own Adventure parts,,101,1
Christmas Ideas parts,,41,
Wooden Minifigure parts,,29,
San Francisco,,565,
Paris,,649,
Trafalgar Square,,1197,
Empire State Building,,1767,
Burj Khalifa,,333,
Minecraft Steve BigFig with Parrot,,159,
Minecraft Alex BigFig with Chicken,,160,
Minecraft Skeleton BigFig with Magma Cube,,142,
The End Battle,,222,2 (2 unique to this set)
The Pirate Ship Adventure,,386,3 (2 unique to this set)
The Wool Farm,,260,1
The Blaze Bridge,,372,4 (3 unique to this set)
The Creeper Mine,,834,4 (2 unique to this set)
The Flintstones,,748,4 (4 unique to this set)
Steamboat Willie,,751,2 (2 unique to this set)
Tree House,,3036,4 (4 unique to this set)
Central Perk,,1070,7 (7 unique to this set)
Dinosaur Fossils,,910,2 (2 unique to this set)
My First Duck,,6,
Town Rescue - {Random Bag},,,
Town Rescue - Bird,,,
Town Rescue - Fireman,,,
Town Rescue - Cat,,,
Town Rescue - Policewoman,,,
Town Rescue - Dog,,,
Emmet's 'Piece' Offering,,44,1
Fire ATV,,39,1
Sky Police Jetpack,,33,2 (1 unique to this set)
Race Boat,,34,1 (1 unique to this set)
Popcorn Cart,,43,1 (1 unique to this set)
Space Satellite,,36,1 (1 unique to this set)
Naboo Starfighter,,48,
Snowspeeder,,49,
Minecraft Steve and Creeper Set,,36,2
Tulips,,90,
Emma's Bumper Cars,,66,1 (1 unique to this set)
Mia's Water Fun,,28,1 (1 unique to this set)
Spider-Man's Mini Spider Crawler,,73,1
Iron Man and Dum-E,,38,1 (1 unique to this set)
